87.6,80.2,3.407250759,82.82078217
98.5,45.9,6.167923246,64.96267827
81.1,59,7.457936501,67.16476773
66.1,67.8,2.847638294,68.12788247
40.4,94,6.597372901,78.25870776
48.3,87.5,9.937400923,75.98060605
69.3,59.4,8.112674265,63.8848282
44.9,99,0.3310153155,81.66113672
61.2,70.3,4.151250533,67.69045063
73.6,81.8,1.213058118,79.45616528
86.7,74.9,6.680132105,80.70199535
60.2,77.9,6.573849141,74.03228475
85.9,79.2,1.268867454,81.80202848
48.4,72.2,4.237522277,65.57615679
89.3,63.6,5.474434032,72.33260828
83,49.9,1.94325371,62.45637402
79.3,45.8,6.074199252,58.39487853
73.5,91.2,3.168266895,85.7087111
81.4,40.4,5.324557873,55.21274528
90.2,59.7,1.06117754,69.89623269
66.1,86,3.461021144,81.02245104
54.2,77.9,5.536252063,71.52612517
58.5,44.9,2.224087627,49.9930622
96.1,48.5,8.765202395,65.9509133
49.7,63.5,9.999252286,59.82670882
73.6,85.7,2.026403473,82.48892001
54,61,1.685325098,59.55049612
71.8,66.9,8.196390924,69.87070137
66.6,83.9,7.420448915,78.48523623
95.2,99.1,9.69083409,98.54524868
56.8,93.2,1.348610031,82.90467052
63.9,88.1,9.008868863,80.88176383
97.8,78.3,0.5311392774,86.07305178
74.6,57.2,5.363910466,64.63279994
49.1,97.3,1.50901395,82.71847882
96.8,71.8,5.385287077,81.09377732
84.2,85.4,7.795275643,86.47610951
73.2,51.7,2.2689712,60.53085733
43.3,85.4,1.396409043,72.07346452
84.1,60.2,6.79426079,68.38964236
61.5,96.6,9.282149235,85.55886451
97.1,63.6,5.589707852,76.61319118
49.9,49.7,6.281236982,49.86425578
55.7,46.4,9.240331989,50.49465538
91,48.1,7.193700679,63.5381685
43.4,73.4,2.124922874,64.05297433
52,59.2,6.777133257,57.00345344
51.8,87.4,1.133960988,76.8982751
61.7,48.9,8.765228733,53.36915245
75.1,56.2,5.053578146,63.26392986
94.3,64.8,7.072891755,75.1320123
62,69.9,5.848500142,67.52888684
41.1,48.3,9.976083775,47.17064356
86,85.7,7.307756778,86.92343349
89.6,63.5,3.250076295,72.71629531
73,98.6,2.533059579,91.44573235
60.7,55.1,1.212008006,58.34305426
44.9,79.7,6.084360022,68.55830963
50.1,45.3,6.328921926,47.6066222
43.7,77.9,7.814626599,66.68744059
86,88.5,2.78836349,87.8495728
54.5,77.2,6.622064084,70.89057562
82.2,96.3,7.233993526,93.17127318
94,82.3,3.649753998,86.67435735
84.4,85.5,9.073565755,85.78587298
65.6,89.3,5.528266357,82.05440355
75.8,44.2,2.482392628,55.64455042
94.4,73.8,0.7755842189,82.48314082
46.6,57.7,4.844621889,54.87945509
